index,lat,lon,use_type,use_code,year_built,gross_area,story_height,number_of_stories,Address,fire,Fire,Fire_final
61,,,R,Office Building,1947.0,1302.0,12.0,1.0,230 OLD LYNCHBURG RD,0,0.0,0.0
62,38.03790479999999,-78.4612741,R,Apartments over 20 units,1924.0,13008.0,8.0,3.0,1217 RIVER VISTA AVE,0,0.0,0.0
63,,,R,Office Building,1992.0,2220.0,14.0,1.0,1219 RIVER VISTA AVE,0,0.0,0.0
64,,,C,Office Building,1959.0,5970.0,12.0,1.0,1932 ARLINGTON BLVD,0,0.0,0.0
65,38.0599894,-78.49503940000001,C,Medical Office,1969.0,5930.0,10.0,2.0,2114 ANGUS RD,0,0.0,0.0
66,38.04827890000001,-78.50553740000001,C,Apartments 11-20 Units,2001.0,10455.0,10.0,3.0,1932 ARLINGTON BLVD,0,0.0,0.0
67,38.0304189,-78.47859100000001,,Apartments over 20 units,1973.0,10050.0,12.0,2.0,406 MARKET ST,0,0.0,0.0
68,,,R,Office Building,1925.0,1626.0,10.0,2.0,1904 JEFFERSON PARK AVE,0,0.0,0.0
69,,,C,Dist. Warehouse,1973.0,3750.0,12.0,1.0,131 FRANKLIN ST,0,0.0,0.0
70,,,R,Church,1946.0,1680.0,12.0,1.0,719 RIDGE ST,0,0.0,0.0
71,38.0279118,-78.4984352,R,Office,1910.0,2213.0,8.0,1.0,1018 CHERRY AVE,0,0.0,0.0
72,38.0439227,-78.4693113,R,Condominium - Commercial,2012.0,2467.0,10.0,1.0,600 WILDER DR,0,0.0,0.0
73,,,R,Multiple Commercial Use,1987.0,2179.0,11.0,1.0,128 STRIBLING AVE,0,0.0,0.0
74,38.0235723,-78.51734590000001,R,Commercial,1987.0,2156.0,12.0,1.0,127 STRIBLING AVE,0,0.0,0.0
75,38.033649700000005,-78.48258679999998,R,Multiple Commercial Use,1950.0,408.0,10.0,3.0,400 HIGH ST,0,0.0,0.0
76,38.0295756,-78.4834747,R,Service Repair Garage,1940.0,906.0,12.0,1.0,208 SOUTH ST,0,0.0,0.0
77,38.0295756,-78.4834747,R,Service Repair Garage,1940.0,200.0,12.0,1.0,208 SOUTH ST,0,0.0,0.0
78,38.05092,-78.50729059999998,R,Retail Store,1973.0,5961.0,12.0,1.0,2401 ARLINGTON BLVD,0,0.0,0.0
79,38.05092,-78.50729059999998,R,Retail Store,1988.0,6800.0,10.0,2.0,2401 ARLINGTON BLVD,0,0.0,0.0
80,38.05092,-78.50729059999998,R,Storage Warehouse,2002.0,546.0,8.0,1.0,2401 ARLINGTON BLVD,0,0.0,0.0
81,38.05092,-78.50729059999998,R,Recreational Enclosure,2000.0,429.0,10.0,1.0,2401 ARLINGTON BLVD,0,0.0,0.0
82,,,R,Convenience Market,1980.0,2400.0,12.0,1.0,2401 ARLINGTON BLVD,0,0.0,0.0
83,38.05092,-78.50729059999998,R,Office,1997.0,3344.0,12.0,1.0,2401 ARLINGTON BLVD,0,0.0,0.0
84,38.05092,-78.50729059999998,R,Convenience Market,1920.0,824.0,12.0,1.0,2401 ARLINGTON BLVD,0,0.0,0.0
85,38.0256093,-78.51184690000001,R,Office Building,1986.0,608.0,16.0,1.0,2114 HILL ST,0,0.0,0.0
86,38.0321842,-78.478702,,Office Building,1953.0,1253.0,10.0,1.0,310 4TH ST,0,0.0,0.0
87,38.0298931,-78.472042,,Office Building,1951.0,2895.0,12.0,1.0,1011 JEFFERSON ST,0,0.0,0.0
88,38.0340472,-78.4787686,R,Office Building,2002.0,3008.0,12.0,1.0,440 2ND ST,0,0.0,0.0
89,,,,Elementary Sch (Entire),1930.0,36789.0,12.0,3.0,100 SOUTH ST,0,0.0,0.0
90,38.045075399999995,-78.5036803,R,Industrial Light Manufacturing,1931.0,26650.0,12.0,5.0,136 UNIVERSITY GDNS,0,0.0,0.0
91,38.040591299999996,-78.498746,R,Industrial Light Manufacturing,1931.0,10000.0,12.0,1.0,507 16TH ST,0,0.0,0.0
92,38.0241316,-78.462823,R,Office Building,1940.0,257.0,12.0,1.0,1518 MARKET ST,0,0.0,0.0
93,38.0241316,-78.462823,R,Commercial,1942.0,6848.0,12.0,2.0,1518 MARKET ST,0,0.0,0.0
94,38.041356799999996,-78.49384649999998,R,Apartments 1-10 units,2000.0,4320.0,8.0,2.0,714 MADISON AVE,0,0.0,0.0
95,,,R,Apartments 1-10 units,1969.0,2860.0,8.0,2.0,2603 JEFFERSON PARK AVE,0,0.0,0.0
96,38.06322370000001,-78.49334879999998,R,Apartments 1-10 units,1993.0,4752.0,8.0,2.0,1920 SWANSON DR,0,0.0,0.0
97,38.06322370000001,-78.49334879999998,R,Commercial,1960.0,3420.0,14.0,1.0,1920 SWANSON DR,0,0.0,0.0
98,,,C,Commercial,1975.0,13200.0,12.0,1.0,1718 HYDRAULIC RD,0,0.0,0.0
99,38.06322370000001,-78.49334879999998,R,Multiple Commercial Use,1969.0,11600.0,20.0,1.0,1920 SWANSON DR,0,0.0,0.0
100,,,R,Office Building,1984.0,10096.0,10.0,1.0,900 1ST ST,0,0.0,0.0
101,38.04351030000001,-78.4556788,R,Multiple Commercial Use,1920.0,3238.0,10.0,2.0,1115 RIVER CT,0,0.0,0.0
102,,,R,Church,1940.0,288.0,12.0,2.0,604 15TH ST,0,0.0,0.0
103,,,R,Convenience Market,1953.0,5153.0,12.0,1.0,2302 NORTH BERKSHIRE RD,0,0.0,0.0
104,,,C,Office Building,1948.0,2361.0,10.0,1.0,1117 MARKET ST,0,0.0,0.0
105,38.0629536,-78.4967128,R,Apartments 11-20 Units,2012.0,17187.0,12.0,3.0,2302 NORTH BERKSHIRE RD,0,0.0,0.0
106,,,R,Apartments 11-20 Units,2012.0,6360.0,14.0,1.0,313 13TH ST,0,0.0,0.0
107,,,R,Clubhouse,1970.0,638.0,12.0,1.0,313 13TH ST,0,0.0,0.0
108,,,R,Apartments over 20 units,1924.0,31616.0,8.0,2.0,313 13TH ST,0,0.0,0.0
109,38.022906799999994,-78.5200952,R,Office Building,1996.0,5700.0,10.0,1.5,213 STRIBLING AVE,0,0.0,0.0
110,38.0441967,-78.4671355,R,Commercial,1987.0,1342.0,11.0,1.0,1012 ASHBY PL,0,0.0,0.0
111,,,R,Commercial,1987.0,1414.0,11.0,1.0,1010 ASHBY PL,0,0.0,0.0
112,,,R,Multiple Commercial Use,1987.0,2212.0,11.0,1.0,702 DELL LN,0,0.0,0.0
113,,,R,Office Building,1990.0,3168.0,12.0,1.0,2111 MICHIE DR,0,0.0,0.0
114,,,R,Office Building,1996.0,3800.0,12.0,1.0,219 STRIBLING AVE,0,0.0,0.0
115,,,R,Service Repair Garage,1973.0,2700.0,12.0,1.0,1104 GRADY AVE,0,0.0,0.0
117,,,R,Service Repair Garage,1963.0,648.0,10.0,1.0,1011 PRESTON AVE,0,0.0,0.0
118,,,R,Office,0.0,,,,1313 HAMPTON ST,0,0.0,0.0
119,,,R,Day Care Center,2013.0,4495.0,10.0,1.0,1314 HAMPTON ST,0,0.0,0.0
120,38.0564456,-78.47219740000001,R,Day Care Center,,,,,1312 CARTER LN,0,0.0,0.0
121,38.056089799999995,-78.471487,R,Group Care Home,1920.0,3714.0,12.0,2.0,1306 CARTER LN,0,0.0,0.0
122,,,R,Group Care Home,1920.0,280.0,12.0,1.0,1323 KENWOOD LN,0,0.0,0.0
123,38.0557859,-78.4700661,R,Office Building,1957.0,1804.0,8.0,1.0,1302 KENWOOD LN,0,0.0,0.0
124,,,R,Office Building,1957.0,1125.0,12.0,1.0,1324 KENWOOD LN,0,0.0,0.0
125,,,R,Office Building,1971.0,1652.0,10.0,1.0,806 VALLEY VIEW CIR,0,0.0,0.0
126,,,R,Office Building,1971.0,3776.0,10.0,1.0,907 ROUGEMONT AVE,0,0.0,0.0
127,38.025292,-78.454298,R,Office Building,1971.0,1652.0,10.0,1.0,330 RIVERSIDE AVE,0,1.0,1.0
128,38.025292,-78.454298,R,Office Building,1971.0,1652.0,10.0,1.0,330 RIVERSIDE AVE,0,1.0,1.0
129,,,R,Office Building,1971.0,3776.0,10.0,1.0,407 ALTAMONT CIR,0,0.0,0.0
130,,,R,Office Building,1946.0,419.0,8.0,1.0,525 CAROLINE AVE,0,0.0,0.0
131,,,R,Apartments 1-10 units,1946.0,1198.0,8.0,2.0,526 MEADE AVE,0,1.0,1.0
132,38.0309344,-78.4634063,R,Apartments 1-10 units,1946.0,379.0,8.0,1.0,519 CAROLINE AVE,0,0.0,0.0
133,38.017503999999995,-78.48390699999999,R,Office Building,1925.0,2642.0,10.0,2.0,1394 AVON ST,0,0.0,0.0
134,,,R,Multiple Commercial Use,1970.0,17465.0,12.0,1.0,949 RIVES ST,0,0.0,0.0
135,38.0208473,-78.47650420000001,R,Medical Office,1977.0,4500.0,10.0,1.0,906 BLENHEIM AVE,0,0.0,0.0
136,38.03704889999999,-78.47570499999998,R,Apartments 1-10 units,1925.0,3062.0,8.0,2.0,705 PARK ST,0,0.0,0.0
137,38.036237400000005,-78.47574940000001,R,Apartments 1-10 units,1925.0,100.0,8.0,1.0,627 PARK ST,0,0.0,0.0
138,38.03479799999999,-78.475207,R,Multiple Commercial Use,1935.0,1323.0,12.0,1.0,540 PARK ST,0,0.0,0.0
139,38.023876,-78.49526399999998,R,Office,2001.0,2366.0,12.0,1.0,721 PROSPECT AVE,0,0.0,0.0
140,38.020832399999996,-78.4961713,R,Office,2001.0,2246.0,12.0,1.0,614 BAILEY RD,0,0.0,0.0
141,,,,Office Building,1977.0,1618.0,10.0,2.0,105 4TH ST,0,0.0,0.0
142,38.0261152,-78.45614499999998,I,Commercial,2013.0,20023.0,16.0,1.0,329 RIVERSIDE AVE,0,1.0,1.0
143,38.063294299999995,-78.47175340000001,R,Group Care Home,1985.0,3724.0,8.0,2.0,2003 GREENBRIER DR,0,0.0,0.0
144,38.0425036,-78.49288309999999,R,Governmental Bldg.,1950.0,318.0,12.0,1.0,1129 PRESTON AVE,0,0.0,0.0
145,38.0306367,-78.47063729999998,R,Mixed Retail w/Res Units,1950.0,1019.0,12.0,1.0,402 11TH ST,0,0.0,0.0
146,38.0306706,-78.49195540000002,R,Multiple Commercial Use,1999.0,10800.0,12.0,1.35,775 WALKER SQ,0,0.0,0.0
147,38.0306706,-78.49195540000002,R,Medical Office,1993.0,6096.0,10.0,2.0,775 WALKER SQ,0,0.0,0.0
148,,,R,Apartments 11-20 Units,2001.0,1640.0,10.0,1.0,755 WALKER SQ,0,0.0,0.0
149,38.0306498,-78.4925073,R,Office,2001.0,2236.0,12.0,1.0,725 WALKER SQ,0,0.0,0.0
150,38.0306498,-78.4925073,R,Office,2001.0,1952.0,12.0,1.0,755 WALKER SQ,0,0.0,0.0
151,38.0306498,-78.4925073,R,Office,2001.0,2262.0,12.0,1.0,760 WALKER SQ,0,0.0,0.0
152,38.0306498,-78.4925073,R,Office,2001.0,4500.0,12.0,1.0,770 WALKER SQ,0,0.0,0.0
153,38.0306498,-78.4925073,R,Office,2001.0,2036.0,12.0,1.0,725 WALKER SQ,0,0.0,0.0
154,,,R,Office,2001.0,2655.0,12.0,1.0,735 WALKER SQ,0,0.0,0.0
155,,,C,Bank,1989.0,2047.0,10.0,1.0,310 AVON ST,0,0.0,0.0
156,,,C,Office,1989.0,2147.0,10.0,1.0,770 HARRIS ST,0,0.0,0.0
157,38.0442222,-78.513397,C,Office,1989.0,1844.0,10.0,1.0,2171 IVY RD,0,0.0,0.0
158,,,C,Medical Office,1959.0,2064.0,10.0,1.0,410 WATER ST,0,0.0,0.0
159,38.023259,-78.48571299999998,R,Medical Office,1983.0,3722.0,8.0,2.0,500 1ST ST,1,0.0,1.0
160,38.036318900000005,-78.48350760000002,C,Commercial,1954.0,328.0,8.0,1.0,750 HARRIS ST,1,0.0,1.0
161,38.0278812,-78.47170899999998,C,Multiple Commercial Use,1984.0,7150.0,12.0,1.0,1110 MARKET ST,0,0.0,0.0
162,38.033823100000006,-78.47939020000003,R,Multiple Commercial Use,1984.0,1350.0,12.0,1.5,415 2ND ST,0,0.0,0.0
163,,,R,Multiple Commercial Use,1984.0,1800.0,12.0,2.0,1122 MARKET ST,0,0.0,0.0
164,38.02396359999999,-78.5225361,R,Mini-warehouse,2000.0,22376.0,18.0,2.0,104 MORRIS PAUL CT,0,0.0,0.0
165,38.029770500000005,-78.47925699999998,,Office Building,1945.0,1414.0,8.0,1.0,400 MAIN ST,0,0.0,0.0
166,38.0330199,-78.48385209999998,C,Church,1958.0,21000.0,12.0,2.0,300 PRESTON AVE,0,0.0,0.0
167,,,R,Group Care Home,1985.0,506.0,8.0,2.0,1920 GREENBRIER DR,0,0.0,0.0
168,,,R,Apartments 1-10 units,1970.0,3524.0,8.0,2.0,2210 GREENBRIER DR,0,0.0,0.0
169,,,R,Multiple Commercial Use,1969.0,8400.0,12.0,1.0,511 1ST ST,0,0.0,0.0
170,,,R,Multiple Commercial Use,2002.0,10008.0,12.0,1.0,511 1ST ST,0,0.0,0.0
171,,,R,Multiple Commercial Use,1920.0,1820.0,8.0,2.0,1815 YORKTOWN DR,0,0.0,0.0
172,,,R,Multiple Commercial Use,1920.0,1081.0,10.0,1.0,1813 YORKTOWN DR,0,0.0,0.0
173,,,R,Apartments 11-20 Units,0.0,468.0,,2.0,821 ORANGEDALE AVE,0,0.0,0.0
174,,,R,Apartments 11-20 Units,0.0,1104.0,,2.0,613 BAILEY RD,0,0.0,0.0
175,38.022864,-78.49649699999998,R,Apartments 11-20 Units,0.0,468.0,,2.0,742 ORANGEDALE AVE,0,1.0,1.0
176,38.022864,-78.49649699999998,R,Apartments 11-20 Units,0.0,468.0,,2.0,742 ORANGEDALE AVE,0,1.0,1.0
177,,,R,Apartments 11-20 Units,0.0,1104.0,,2.0,720 ORANGEDALE AVE,0,0.0,0.0
178,,,R,Commercial,1958.0,2078.0,10.0,2.0,308 CHESTNUT ST,0,0.0,0.0
179,38.0238204,-78.4797454,R,Commercial,1958.0,2037.0,10.0,1.0,709 AVON ST,0,0.0,0.0
180,,,R,Commercial,1912.0,1480.0,10.0,1.0,1100 LEONARD ST,0,0.0,0.0
181,,,R,Barber Shop,1959.0,480.0,10.0,1.0,2611 WILLARD DR,0,0.0,0.0
182,,,R,Restaurant,1920.0,792.0,8.0,,309 HARRIS RD,0,0.0,0.0
183,38.0586866,-78.4787686,R,Restaurant,1920.0,1364.0,8.0,,1613 KENWOOD LN,0,0.0,0.0
184,,,R,Restaurant,1920.0,546.0,8.0,,1302 AVON ST,0,0.0,0.0
185,38.0301859,-78.4781804,,Service Repair Garage,1945.0,1058.0,12.0,1.0,106 5TH ST,0,0.0,0.0
186,38.0159118,-78.50679129999999,R,Commercial,1950.0,1514.0,12.0,1.0,210 HARRIS RD,0,0.0,0.0
187,38.019723,-78.50741500000001,R,Retail Store,1945.0,853.0,12.0,1.0,711 RAINIER RD,0,0.0,0.0
188,38.0156895,-78.509399,R,Office Building,1998.0,34407.0,12.0,1.0,113 HARRIS RD,0,0.0,0.0
189,38.053639700000005,-78.5020709,C,Office Building,1946.0,1422.0,8.0,2.0,1137 MILLMONT ST,0,0.0,0.0
190,38.023347799999996,-78.4786798,R,Office Building,1985.0,5000.0,12.0,2.0,711 BOLLING AVE,0,0.0,0.0
191,,,,Office Building,1977.0,3200.0,10.0,1.0,107 4TH ST,0,0.0,0.0
192,,,R,Storage Warehouse,1987.0,4684.0,22.0,1.0,1129 PRESTON AVE,0,0.0,0.0
193,,,,Office Building,1953.0,964.0,10.0,2.0,412 MARKET ST,0,0.0,0.0
194,38.0306193,-78.4784609,,Service Repair Garage,1948.0,560.0,12.0,2.0,410 MARKET ST,0,0.0,0.0
195,38.02946499999999,-78.48042099999998,C,Apartments over 20 units,1973.0,750.0,12.0,1.0,216 WATER ST,0,0.0,0.0
196,,,C,Office Building,1951.0,3510.0,12.0,1.0,216 WATER ST,0,0.0,0.0
197,,,R,Retail Store,1923.0,11818.0,12.0,2.0,102 ANTOINETTE CT,0,0.0,0.0
198,38.027100700000005,-78.5100647,R,Office Building,1991.0,1800.0,14.0,1.0,121 CARROLLTON TER,0,0.0,0.0
199,38.043867299999995,-78.467413,R,Apartments over 20 units,2013.0,3120.0,9.0,1.0,1008 ASHBY PL,0,0.0,0.0
200,38.043816899999996,-78.46535940000001,R,Apartments over 20 units,2013.0,3120.0,9.0,1.0,1008 GLENDALE RD,0,0.0,0.0
201,38.0392223,-78.45885,R,Office Building,1992.0,1400.0,10.0,1.0,1223 COLEMAN CT,0,0.0,0.0
202,38.0396529,-78.4588823,R,Office Building,1992.0,3375.0,12.0,1.0,1226 COLEMAN CT,0,0.0,0.0
203,38.039492700000004,-78.45864209999998,R,Office Building,1991.0,2080.0,10.0,1.0,1224 COLEMAN CT,0,0.0,0.0
204,38.039492700000004,-78.45864209999998,R,Office Building,1991.0,2080.0,14.0,2.0,1224 COLEMAN CT,0,0.0,0.0
205,38.016421,-78.50050300000001,R,Office,1910.0,1911.0,8.0,1.0,530 CLEVELAND AVE,0,0.0,0.0
206,38.020263899999996,-78.5135711,R,Office Building,1984.0,6975.0,12.0,1.5,112 CLEVELAND AVE,0,0.0,0.0
207,38.041089,-78.494006,R,Restaurant,1920.0,4284.0,10.0,2.0,704 MADISON AVE,0,0.0,0.0
208,,,R,Restaurant,1920.0,4284.0,10.0,2.0,704 MADISON AVE,0,0.0,0.0
209,,,R,Market,1920.0,480.0,10.0,1.0,1412 SHORT 18TH ST,0,0.0,0.0
210,38.050706700000006,-78.4925312,R,Convenience Market,1948.0,1578.0,8.0,1.5,1203 HILLTOP RD,0,0.0,0.0
211,38.0286499,-78.479479,R,Church,1960.0,4526.0,12.0,1.0,300 4TH ST,0,0.0,0.0
212,38.041441799999994,-78.46152109999998,R,Retail Store,1920.0,3124.0,10.0,2.0,1024 LOCUST AVE,0,0.0,0.0
213,,,R,Retail Store,1920.0,1703.0,10.0,1.0,1024 LOCUST AVE,0,0.0,0.0
214,38.023178,-78.519357,R,Office Building,1992.0,4180.0,10.0,1.0,155 STRIBLING AVE,0,0.0,0.0
215,38.0236244,-78.51374859999999,R,Office Building,1992.0,4760.0,14.0,2.0,111 RAYMOND AVE,0,0.0,0.0
216,38.031023700000006,-78.50413409999999,R,Office Building,1990.0,884.0,12.0,1.0,417 BRANDON AVE,0,0.0,0.0
217,,,R,Office Building,1990.0,1800.0,12.0,1.0,417 BRANDON AVE,0,0.0,0.0
218,,,R,Commercial,1996.0,600.0,10.0,1.0,419 BRANDON AVE,0,0.0,0.0
219,,,C,Commercial,1996.0,3900.0,12.0,1.0,770 HARRIS ST,0,0.0,0.0
220,,,R,Mini-Mart Convenience Store,1995.0,2325.0,15.0,1.0,704 12TH ST,0,0.0,0.0
221,,,R,Storage Warehouse,1958.0,2930.0,12.0,1.0,108 DUNOVA CT,0,0.0,0.0
222,38.0295276,-78.5123283,R,Church,1982.0,2200.0,12.0,1.0,120 DUNOVA CT,0,0.0,0.0
223,38.018567499999996,-78.5187194,R,Church,1982.0,840.0,12.0,1.0,236 SUNSET AVE,0,0.0,0.0
224,,,R,Office Building,1957.0,779.0,12.0,1.0,122 LONGWOOD DR,0,0.0,0.0
225,38.014034499999994,-78.5054486,R,Bank,1972.0,612.0,12.0,1.0,108 LONGWOOD DR,0,0.0,0.0
226,,,R,Commercial,1950.0,2380.0,10.0,1.0,2707 JEFFERSON PARK AVE,0,0.0,0.0
228,,,R,Service Repair Garage,1973.0,6059.0,18.0,1.0,312 10 1/2 ST,0,0.0,0.0
229,,,R,Service Repair Garage,1963.0,2400.0,16.0,1.0,107 LONGWOOD DR,0,0.0,0.0
230,,,R,Commercial,0.0,,,,109 LONGWOOD DR,0,0.0,0.0
231,38.04286310000001,-78.49318009999998,R,Service Repair Garage,1976.0,3191.0,12.0,1.0,1111 PRESTON AVE,0,0.0,0.0
232,38.0302767,-78.4793122,C,Service Repair Garage,1948.0,6230.0,12.0,1.0,321 MAIN ST,0,0.0,0.0
233,,,R,Market,1920.0,480.0,10.0,1.0,1111 PRESTON AVE,0,0.0,0.0
234,38.03459829999999,-78.49734769999998,R,Office,1989.0,2566.0,10.0,1.0,1215 WERTLAND ST,0,0.0,0.0
235,38.03459829999999,-78.49734769999998,R,Office Building,1927.0,1302.0,8.0,2.0,1215 WERTLAND ST,0,0.0,0.0
236,38.0410947,-78.4781292,C,Office Building,1910.0,2498.0,12.0,2.0,1709 ALLIED ST,0,0.0,0.0
237,,,C,Office,0.0,2345.0,9.0,1.0,925 HARRIS ST,0,0.0,0.0
238,38.028743,-78.4746751,C,Office Building,1996.0,1956.0,8.0,1.5,701 WATER ST,0,0.0,0.0
239,,,R,Convenience Market,1920.0,694.0,10.0,1.0,2106 ARLINGTON BLVD,0,0.0,0.0
240,38.0228451,-78.4826756,R,Multiple Commercial Use,1958.0,4500.0,12.0,1.0,921 6TH ST,0,0.0,0.0
