Match_addr,X,Y,IN_AlarmDa,FR_Cause_1
1828 WINSTON RD,11483216.53,3904229.722,2003-05-15T00:00:00.000Z,Failure of equipment or heat source
713 6TH ST SE #A,11488239.36,3896579.701,2003-05-21T00:00:00.000Z,Failure of equipment or heat source
917 MONTICELLO AVE,11490095.84,3895925.63,2003-05-31T00:00:00.000Z,Unintentional
410 E JEFFERSON ST,11489193.47,3899097.855,2003-06-07T00:00:00.000Z,Unintentional
975 EMMET ST N,11481788.93,3905895.742,2003-06-15T00:00:00.000Z,Cause undetermined after investigation
323 MONTICELLO RD,11489733.52,3897238.434,2003-06-22T00:00:00.000Z,Intentional
1516 AMHERST ST,11486941.49,3903139.09,2003-06-24T00:00:00.000Z,Failure of equipment or heat source
1215 LEE ST,11483404.36,3899020.127,2003-07-05T00:00:00.000Z,Failure of equipment or heat source
1314 CARLTON AVE,11492122.95,3895532.662,2003-07-06T00:00:00.000Z,Act of nature
1207 HOLMES AVE,11494140.2,3904620.267,2003-07-12T00:00:00.000Z,Failure of equipment or heat source
1026 RIVER RD,11495218.19,3901176.092,2003-07-14T00:00:00.000Z,Cause undetermined after investigation
145 BIRDWOOD CT,11489173.48,3903133.389,2003-07-27T00:00:00.000Z,Unintentional
1607 GROVE RD,11488250.61,3907950.901,2003-07-31T00:00:00.000Z,Intentional
300 MASSIE RD,11480151.37,3904557.343,2003-08-02T00:00:00.000Z,Cause undetermined after investigation
300 MASSIE RD,11480151.37,3904557.343,2003-08-02T00:00:00.000Z,"Cause, other"
918 PRESTON AVE,11485795.91,3901300.168,2003-08-06T00:00:00.000Z,Failure of equipment or heat source
600 PRESTON AVE,11486916.66,3900339.379,2003-09-02T00:00:00.000Z,Unintentional
943 PRESTON AVE,11485635.92,3901880.19,2003-09-04T00:00:00.000Z,Unintentional
1137 EMMET ST N,11482717.1,3906942.903,2003-09-12T00:00:00.000Z,Failure of equipment or heat source
116 SHASTA CT,11480088.91,3892139.932,2003-09-21T00:00:00.000Z,Failure of equipment or heat source
802 NALLE ST,11484760.64,3898550.105,2003-09-30T00:00:00.000Z,Unintentional
802 NALLE ST,11484760.64,3898550.105,2003-09-30T00:00:00.000Z,Cause under investigation
613 AVON ST,11488914.32,3896630.762,2003-10-10T00:00:00.000Z,Failure of equipment or heat source
1811 LAMBETH LN,11482439.09,3902608.399,2003-10-17T00:00:00.000Z,Intentional
801 EMMET ST N,11481627.88,3904906.341,2003-10-18T00:00:00.000Z,Failure of equipment or heat source
402 MONTICELLO RD,11489816.46,3896870.386,2003-10-24T00:00:00.000Z,Unintentional
735 PARK ST,11490125.03,3901884.891,2003-10-24T00:00:00.000Z,Intentional
735 PARK ST,11490125.03,3901884.891,2003-10-25T00:00:00.000Z,Cause under investigation
1021 WERTLAND ST #1,11484376.11,3900231.634,2003-11-07T00:00:00.000Z,Cause under investigation
2014 LEWIS MOUNTAIN RD,11478611.18,3901576.278,2003-11-24T00:00:00.000Z,Failure of equipment or heat source
1000 RIDGE ST,11484650.53,3894667.138,2003-11-07T00:00:00.000Z,Cause under investigation
614 DICE ST,11485672,3898393.542,2003-12-02T00:00:00.000Z,Unintentional
946 GRADY AVE,11485611.03,3901477.811,2003-12-06T00:00:00.000Z,Failure of equipment or heat source
1721 JEFFERSON PARK AVE,11480223.65,3898515.528,2003-12-15T00:00:00.000Z,Unintentional
1401 RUGBY RD,11485943.23,3906314.047,2003-12-17T00:00:00.000Z,Unintentional
921 HENRY AVE #1,11486372.43,3902200.204,2003-12-25T00:00:00.000Z,Cause under investigation
1216 SMITH ST,11495025.01,3902428.022,2003-12-31T00:00:00.000Z,NULL
1001 FOREST HILLS AVE #A,11484140.96,3896950.757,2004-01-04T00:00:00.000Z,Failure of equipment or heat source
1114 GORDON AVE #A,11484408.38,3901640.675,2004-01-05T00:00:00.000Z,Unintentional
601 CHERRY AVE #A,11485499.75,3897721.872,2004-01-06T00:00:00.000Z,Unintentional
613 ROCK CREEK RD #A,11482484.16,3896286.53,2004-01-06T00:00:00.000Z,Unintentional
508 LEXINGTON AVE,11490883.28,3899812.579,2004-01-07T00:00:00.000Z,Failure of equipment or heat source
521 ROUGEMONT AVE,11486834.29,3894061.945,2004-01-08T00:00:00.000Z,Failure of equipment or heat source
353 10TH ST NW #COTT,11484999.53,3901160.518,2004-01-25T00:00:00.000Z,Intentional
353 10TH ST NW #COTT,11484999.53,3901160.518,2004-01-25T00:00:00.000Z,Unintentional
1600 6TH ST SE #23,11486800.1,3893789.929,2004-01-22T00:00:00.000Z,Failure of equipment or heat source
1718 KING MOUNTAIN RD,11488175.63,3910135.563,2004-02-03T00:00:00.000Z,Failure of equipment or heat source
508 HARRIS RD,11481915.22,3892885.628,2004-02-04T00:00:00.000Z,Unintentional
1000 RIDGE ST,11484650.53,3894667.138,2004-01-31T00:00:00.000Z,Failure of equipment or heat source
742 ORANGEDALE AVE,11483908.99,3896008.619,2004-02-07T00:00:00.000Z,Cause under investigation
1303 BELLEVIEW AVE,11494662.32,3901393.523,2004-02-08T00:00:00.000Z,Failure of equipment or heat source
1702 GORDON AVE,11482848.87,3902363.207,2004-02-18T00:00:00.000Z,Unintentional
2205 FONTAINE AVE #104,11478324.2,3897192.624,2004-02-26T00:00:00.000Z,NULL
1901 EMMET ST N,11484948.91,3910095.53,2004-02-27T00:00:00.000Z,Failure of equipment or heat source
881 LOCUST AVE,11492509.35,3901493.159,2004-03-02T00:00:00.000Z,Cause under investigation
1430 WESTWOOD RD,11488165.37,3903716.143,2004-03-03T00:00:00.000Z,Failure of equipment or heat source
730 PROSPECT AVE #A,11484314.91,3896155.052,2004-03-04T00:00:00.000Z,Cause under investigation
1600 6TH ST SE #23,11486800.1,3893789.929,2004-03-04T00:00:00.000Z,NULL
1215 LEE ST,11483404.36,3899020.127,2004-03-12T00:00:00.000Z,NULL
313 2ND ST SE #101,11488355.2,3898147.695,2004-03-13T00:00:00.000Z,Intentional
213 2ND ST SW,11487801.5,3898503.751,2004-03-14T00:00:00.000Z,Unintentional
983 RIVES ST,11490642.69,3893473.788,2004-03-15T00:00:00.000Z,Cause under investigation
1133 EMMET ST N,11482765.27,3906565.885,2004-03-25T00:00:00.000Z,NULL
1159 EMMET ST N,11482781.82,3907015.207,2004-03-26T00:00:00.000Z,NULL
414 PARK ST,11489700.63,3899502.923,2004-03-29T00:00:00.000Z,Failure of equipment or heat source
1106 MYRTLE ST,11491164.66,3896378.114,2004-04-05T00:00:00.000Z,Intentional
1106 EMMET ST N,11482506.52,3906457.343,2004-04-07T00:00:00.000Z,NULL
1635 MERIDIAN ST #A,11488126.27,3892314.105,2004-04-08T00:00:00.000Z,NULL
920 HARRIS ST,11488070.39,3901550.384,2004-04-25T00:00:00.000Z,Cause under investigation
707 ORANGEDALE AVE,11484106.64,3896589.94,2004-04-27T00:00:00.000Z,Cause under investigation
1324 CHESAPEAKE ST,11493063.14,3897335.303,2004-05-02T00:00:00.000Z,Cause under investigation
770 PROSPECT AVE #A,11484477.87,3895923.963,2004-05-07T00:00:00.000Z,"Cause, other"
403 GARRETT ST #A,11488263.01,3897626.265,2004-05-10T00:00:00.000Z,Unintentional
1222 JEFFERSON PARK AVE,11483430.68,3899614.267,2004-05-14T00:00:00.000Z,NULL
1705 EMMET ST N,11484529.78,3909235.166,2004-05-14T00:00:00.000Z,NULL
200 W WATER ST,11487863.24,3898666.997,2004-05-24T00:00:00.000Z,Failure of equipment or heat source
926 CHARLTON AVE #A,11486013.26,3901971.379,2004-05-26T00:00:00.000Z,Cause undetermined after investigation
1600 6TH ST SE #23,11486800.1,3893789.929,2004-05-20T00:00:00.000Z,Unintentional
901 E MARKET ST,11490132.04,3898502.887,2004-06-02T00:00:00.000Z,Failure of equipment or heat source
1230 RIVER RD,11495511.72,3902321.999,2004-06-13T00:00:00.000Z,Intentional
1147 RIVER RD,11495356.13,3902020.25,2004-06-13T00:00:00.000Z,Cause under investigation
1500 GRADY AVE #1,11483644.54,3902369.838,2004-06-17T00:00:00.000Z,Unintentional
1131 5TH ST SW,11482176.18,3892498.748,2004-06-29T00:00:00.000Z,Failure of equipment or heat source
505 VALLEY RD,11481311.33,3898826.626,2004-07-04T00:00:00.000Z,NULL
779 PROSPECT AVE,11483812.33,3895548.381,2004-07-06T00:00:00.000Z,Unintentional
1505 GREEN ST,11488247.59,3893719.726,2004-07-08T00:00:00.000Z,Cause undetermined after investigation
1159 MILLMONT ST,11482642.24,3907450.585,2004-07-14T00:00:00.000Z,Failure of equipment or heat source
510 15TH ST NW #12,11483682.27,3902215.612,2004-07-18T00:00:00.000Z,Failure of equipment or heat source
2021 MICHIE DR #A,11486338.31,3909259.503,2004-07-21T00:00:00.000Z,Failure of equipment or heat source
881 RIDGE ST,11484791.53,3894997.33,2004-08-03T00:00:00.000Z,Cause under investigation
1129 EMMET ST N,11482345.56,3906521.616,2004-08-06T00:00:00.000Z,Unintentional
106 W SOUTH ST #201,11487919.08,3898363.597,2004-08-20T00:00:00.000Z,Act of nature
1035 EMMET ST N,11482227.05,3906384.734,2004-08-24T00:00:00.000Z,Failure of equipment or heat source
317 RIVERSIDE AVE #A,11495841.35,3896754.881,2004-08-24T00:00:00.000Z,Failure of equipment or heat source
1137 EMMET ST N,11482717.1,3906942.903,2004-08-28T00:00:00.000Z,NULL
604 CHERRY AVE,11485331.92,3897590.544,2004-08-28T00:00:00.000Z,Failure of equipment or heat source
501 RIDGE ST,11486607.58,3897625.237,2004-08-31T00:00:00.000Z,Failure of equipment or heat source
1403 EMMET ST N,11483834.48,3908077.545,2004-09-07T00:00:00.000Z,Failure of equipment or heat source
1521 BROAD AVE,11481458.67,3896970.774,2004-09-22T00:00:00.000Z,Unintentional
422 GARRETT ST #A,11488530.97,3897432.241,2004-09-23T00:00:00.000Z,Unintentional
2317 FONTAINE AVE #A,11477722.85,3897178.643,2004-10-02T00:00:00.000Z,Unintentional
1131 5TH ST SW,11482176.18,3892498.748,2004-10-03T00:00:00.000Z,Failure of equipment or heat source
247 RIDGE MCINTIRE RD,11487157.55,3899401.783,2004-10-03T00:00:00.000Z,Unintentional
510 CLEVELAND AVE #A,11483147.11,3893796.521,2004-10-12T00:00:00.000Z,Failure of equipment or heat source
411 E HIGH ST,11489405.42,3899437.763,2004-10-20T00:00:00.000Z,Unintentional
411 E HIGH ST,11489405.42,3899437.763,2004-10-20T00:00:00.000Z,Unintentional
804 PROSPECT AVE,11483791.58,3895274.211,2004-10-25T00:00:00.000Z,Unintentional
724 PROSPECT AVE #A,11484454.6,3896389.32,2004-10-31T00:00:00.000Z,NULL
1108 WARE ST,11487278.65,3895752.581,2004-10-31T00:00:00.000Z,Cause under investigation
2014 HOLIDAY DR,11485088.03,3908927.316,2004-11-04T00:00:00.000Z,Cause under investigation
1201 EMMET ST N,11483182.56,3907058.691,2004-11-03T00:00:00.000Z,NULL
1604 BURNLEY AVE,11483778.32,3903219.509,2004-11-07T00:00:00.000Z,NULL
1109 WERTLAND ST #1,11484097.02,3900239.712,2004-11-07T00:00:00.000Z,Unintentional
1502 6TH ST SE #A,11487195.52,3894440.85,2004-11-13T00:00:00.000Z,Unintentional
946 GRADY AVE,11485611.03,3901477.811,2004-11-17T00:00:00.000Z,Unintentional
309 5TH ST SW #A,11486012.46,3898094.744,2004-11-29T00:00:00.000Z,Failure of equipment or heat source
309 5TH ST SW #A,11486012.46,3898094.744,2004-11-29T00:00:00.000Z,"Cause, other"
235 W MAIN ST #A,11487615.2,3899177.478,2004-12-10T00:00:00.000Z,Unintentional
1410 VINE ST #A,11492233.31,3894725.772,2004-12-12T00:00:00.000Z,Unintentional
1503 CHESAPEAKE ST,11494162.47,3896868.249,2004-12-14T00:00:00.000Z,NULL
500 PARK ST,11489980.73,3900007.907,2004-12-17T00:00:00.000Z,Failure of equipment or heat source
133 LODGE CREEK CIR,11481900.84,3893819.797,2004-12-26T00:00:00.000Z,Unintentional
1528 RUTLEDGE AVE,11486912.15,3904541.023,2004-12-29T00:00:00.000Z,NULL
820 HARDY DR,11485169.16,3899869.279,2005-01-01T00:00:00.000Z,Unintentional
500 NASSAU ST,11492660.73,3895085.987,2004-12-30T00:00:00.000Z,Failure of equipment or heat source
922 BOLLING AVE,11490039.89,3895463.103,2005-01-03T00:00:00.000Z,Unintentional
308 RIDGE ST,11486937.1,3897929.643,2005-01-06T00:00:00.000Z,Intentional
243 RIDGE MCINTIRE RD,11487155.01,3899392.998,2005-01-13T00:00:00.000Z,Failure of equipment or heat source
114 HARTMANS MILL RD,11486274.99,3894740.476,2005-01-22T00:00:00.000Z,Unintentional
614 RUGBY RD,11483096.27,3903127.519,2005-01-22T00:00:00.000Z,Unintentional
1901 EMMET ST N,11484948.91,3910095.53,2005-01-23T00:00:00.000Z,Failure of equipment or heat source
1700 EMMET ST N,11484776.2,3909115.018,2005-01-26T00:00:00.000Z,"Cause, other"
1700 EMMET ST N,11484776.2,3909115.018,2005-01-26T00:00:00.000Z,"Cause, other"
1536 RUGBY RD,11485798.07,3907912.835,2005-01-26T00:00:00.000Z,Unintentional
207 RIDGE ST,11486865.91,3898296.538,2005-01-27T00:00:00.000Z,Failure of equipment or heat source
728 PROSPECT AVE #A,11484319.39,3896162.368,2005-02-05T00:00:00.000Z,Unintentional
900 W MAIN ST,11484570.91,3899398.414,2005-02-05T00:00:00.000Z,Intentional
742 ORANGEDALE AVE,11483908.99,3896008.619,2005-02-15T00:00:00.000Z,Failure of equipment or heat source
909 RIVES ST #A,11491324.47,3894116.677,2005-02-19T00:00:00.000Z,Unintentional
1100 LOCUST AVE,11494375.07,3903210.906,2005-02-24T00:00:00.000Z,Cause under investigation
1215 LEE ST,11483404.36,3899020.127,2005-03-04T00:00:00.000Z,Cause under investigation
1215 LEE ST,11483404.36,3899020.127,2005-03-04T00:00:00.000Z,Cause under investigation
101 SEMINOLE CT,11486618.39,3911780.4,2005-03-09T00:00:00.000Z,NULL
122 LONGWOOD DR #A,11481086.24,3892406.978,2005-03-23T00:00:00.000Z,Failure of equipment or heat source
801 EMMET ST N,11481627.88,3904906.341,2005-03-25T00:00:00.000Z,Unintentional
907 RIVES ST #A,11491383.09,3894140.373,2005-03-25T00:00:00.000Z,Failure of equipment or heat source
1101 6TH ST SE,11487768.61,3895660.955,2005-04-04T00:00:00.000Z,Unintentional
114 CLEVELAND AVE,11479076.76,3895074.483,2005-04-05T00:00:00.000Z,NULL
200 SEMINOLE CT,11487446.52,3911244.835,2005-04-05T00:00:00.000Z,Failure of equipment or heat source
1215 LEE ST,11483404.36,3899020.127,2005-04-15T00:00:00.000Z,NULL
111 MONTICELLO AVE,11487628,3897914.57,2005-04-11T00:00:00.000Z,Unintentional
1215 LEE ST,11483404.36,3899020.127,2005-04-15T00:00:00.000Z,NULL
2111 MICHIE DR #100,11486601.83,3909596.579,2005-04-10T00:00:00.000Z,Cause undetermined after investigation
401 4TH ST NW #101,11487095.55,3900017.307,2005-04-15T00:00:00.000Z,NULL
404 GARRETT ST #A,11488389.26,3897883.065,2005-04-15T00:00:00.000Z,NULL
1600 EMMET ST N,11484612.13,3908787.77,2005-04-17T00:00:00.000Z,Unintentional
250 W MAIN ST #1,11487443.18,3898825.754,2005-04-17T00:00:00.000Z,NULL
1215 LEE ST,11483404.36,3899020.127,2005-04-19T00:00:00.000Z,NULL
102 KEYSTONE PL,11491195.29,3893044.433,2005-04-20T00:00:00.000Z,NULL
1101 E MARKET ST,11490973.34,3898020.776,2005-04-20T00:00:00.000Z,NULL
1006 ELLIOTT AVE #A,11489785.8,3894485.309,2005-05-01T00:00:00.000Z,NULL
1301 BELLEVIEW AVE,11494620.43,3901447.023,2005-05-05T00:00:00.000Z,Failure of equipment or heat source
324 13TH ST NW #1,11483865.97,3901017.361,2005-05-13T00:00:00.000Z,NULL
1000 CHERRY AVE,11483773.84,3897452.662,2005-05-18T00:00:00.000Z,Cause under investigation
1004 LOCUST AVE,11493655.88,3902443.19,2005-05-18T00:00:00.000Z,Failure of equipment or heat source
132 CHANCELLOR ST #1,11482697.33,3901182.93,2005-05-30T00:00:00.000Z,Unintentional
1101 MILLMONT ST,11481710.78,3906441.97,2005-06-04T00:00:00.000Z,NULL
1400 MONTICELLO RD,11490799.05,3894760.798,2005-06-04T00:00:00.000Z,Unintentional
510 MOSELEY DR,11481010.3,3893076.26,2005-06-06T00:00:00.000Z,NULL
207 RIDGE ST,11486865.91,3898296.538,2005-06-10T00:00:00.000Z,Cause undetermined after investigation
1614 GREENLEAF LN,11487107.06,3906141.434,2005-06-13T00:00:00.000Z,Unintentional
1329 RIVERDALE DR,11494168.13,3900236.399,2005-06-18T00:00:00.000Z,NULL
747 ORANGEDALE AVE,11483772.44,3896013.728,2005-06-21T00:00:00.000Z,Unintentional
207 14TH ST NW #1,11483131.55,3900508.592,2005-06-26T00:00:00.000Z,NULL
2121 IVY RD,11479440.33,3903422.98,2005-06-28T00:00:00.000Z,Failure of equipment or heat source
818 E JEFFERSON ST,11490068.96,3898791.656,2005-06-28T00:00:00.000Z,Cause undetermined after investigation
313 8TH ST NW,11485803.61,3900274.792,2005-07-06T00:00:00.000Z,Unintentional
1137 EMMET ST N,11482717.1,3906942.903,2005-07-27T00:00:00.000Z,NULL
432 MOSELEY DR,11481113.53,3893925.005,2005-07-29T00:00:00.000Z,Unintentional
410 E JEFFERSON ST,11489193.47,3899097.855,2005-07-28T00:00:00.000Z,Failure of equipment or heat source
401 MCINTIRE RD,11487625.9,3900172.781,2005-08-04T00:00:00.000Z,Failure of equipment or heat source
402 GARRETT ST #A,11488314.26,3897878.876,2005-08-06T00:00:00.000Z,Act of nature
143 STRIBLING AVE #A,11477603.94,3896064.86,2005-08-14T00:00:00.000Z,Failure of equipment or heat source
1715 KENWOOD LN,11488249.55,3909719.876,2005-08-26T00:00:00.000Z,Failure of equipment or heat source
109 W WATER ST #1,11488001.45,3898721.054,2005-08-24T00:00:00.000Z,Unintentional
1107 GROVE ST,11482767.61,3898302.368,2005-09-01T00:00:00.000Z,Unintentional
500 1ST ST S #201,11487738.58,3897479.388,2005-08-26T00:00:00.000Z,Unintentional
1341 LONG ST,11494550.16,3900594.318,2005-09-06T00:00:00.000Z,NULL
1708 E MARKET ST,11494692.34,3895992.765,2005-09-09T00:00:00.000Z,NULL
1600 EMMET ST N,11484612.13,3908787.77,2005-09-10T00:00:00.000Z,NULL
707 RIVES ST,11491799.44,3894731.677,2005-09-10T00:00:00.000Z,Unintentional
1418 EMMET ST N,11484131.34,3908150.911,2005-09-13T00:00:00.000Z,NULL
1335 CARLTON AVE,11493042.35,3895532.23,2005-10-11T00:00:00.000Z,Cause under investigation
918 LOCUST AVE,11492971.05,3901754.853,2005-10-15T00:00:00.000Z,Cause undetermined after investigation
256 STRIBLING AVE #A,11476174.74,3895408.184,2005-10-17T00:00:00.000Z,Unintentional
1607 E MARKET ST,11494047.46,3896447.757,2005-10-17T00:00:00.000Z,Unintentional
2408 BROOK RD,11491278.85,3911385.694,2005-10-31T00:00:00.000Z,NULL
827 ORANGEDALE AVE,11483306.75,3895245.388,2005-11-13T00:00:00.000Z,Unintentional
123 E MAIN ST,11488434.01,3898886.197,2005-11-14T00:00:00.000Z,NULL
1404 MEADOWBROOK RD,11484092.73,3907386.301,2005-11-14T00:00:00.000Z,Unintentional
1500 CARLTON AVE #9,11492717.21,3895105.441,2005-11-03T00:00:00.000Z,Unintentional
400 EMMET ST N,11481479.01,3903628.401,2005-11-19T00:00:00.000Z,"Cause, other"
419 9TH ST NW,11485733.74,3900875.563,2005-11-20T00:00:00.000Z,Cause under investigation
129 CHANCELLOR ST,11482619.27,3901260.439,2005-11-21T00:00:00.000Z,Intentional
519 ROUGEMONT AVE,11486786.94,3894090.289,2005-11-24T00:00:00.000Z,Cause under investigation
1131 5TH ST SW,11482176.18,3892498.748,2005-11-25T00:00:00.000Z,NULL
306 ALDERMAN RD,11478806.51,3902090.886,2005-11-30T00:00:00.000Z,Failure of equipment or heat source
117 HAMMOND ST #A,11479189.08,3895572.626,2005-12-08T00:00:00.000Z,Unintentional
924 MONTICELLO AVE,11490092.32,3895759.9,2005-12-15T00:00:00.000Z,Unintentional
123 CLEVELAND AVE #A,11479320.1,3895155.428,2005-12-16T00:00:00.000Z,Unintentional
218 SHAMROCK RD,11480297.71,3897211.016,2005-12-17T00:00:00.000Z,Failure of equipment or heat source
1201 W MAIN ST,11483771.6,3899868.941,2005-12-18T00:00:00.000Z,Cause under investigation
921 RIVER RD,11494584.88,3900846.309,2005-12-21T00:00:00.000Z,Failure of equipment or heat source
1400 MONTICELLO RD,11490799.05,3894760.798,2005-12-28T00:00:00.000Z,Cause undetermined after investigation
768 PROSPECT AVE #A,11484583.11,3896096.156,2006-01-03T00:00:00.000Z,Unintentional
1008 ALTAVISTA AVE,11489663.14,3894172.517,2006-01-07T00:00:00.000Z,Unintentional
924 1ST ST S #A,11486932.91,3895486.486,2006-01-16T00:00:00.000Z,Unintentional
300 MEADE AVE,11492697.92,3897788.344,2006-01-19T00:00:00.000Z,"Cause, other"
1600 EMMET ST N,11484612.13,3908787.77,2006-01-24T00:00:00.000Z,Unintentional
511 RIDGE ST #6,11486452.62,3897477.435,2006-01-27T00:00:00.000Z,Unintentional
1001 PRESTON AVE,11485360.1,3902206.324,2006-01-30T00:00:00.000Z,NULL
1411 CHESAPEAKE ST,11493891.12,3897070.592,2006-02-05T00:00:00.000Z,Unintentional
707 ORANGEDALE AVE,11484106.64,3896589.94,2006-02-08T00:00:00.000Z,Unintentional
1411 HAZEL ST,11493344.83,3899861.615,2006-02-15T00:00:00.000Z,Cause under investigation
2111 MICHIE DR #100,11486601.83,3909596.579,2006-02-02T00:00:00.000Z,Unintentional
511 ROUGEMONT AVE,11486595.35,3894214.725,2006-02-17T00:00:00.000Z,Cause under investigation
1208 HOLMES AVE,11494258.75,3904642.874,2006-02-19T00:00:00.000Z,Failure of equipment or heat source
604 CHERRY AVE,11485331.92,3897590.544,2006-02-20T00:00:00.000Z,Failure of equipment or heat source
29 UNIVERSITY CIR,11481852.1,3903353.262,2006-02-28T00:00:00.000Z,Unintentional
110 GOODMAN ST #A1,11490316.09,3897636.769,2006-02-24T00:00:00.000Z,Unintentional
1500 CARLTON AVE #9,11492717.21,3895105.441,2006-02-23T00:00:00.000Z,Cause under investigation
814 RIDGE ST,11485274.6,3895556.44,2006-03-07T00:00:00.000Z,Failure of equipment or heat source
1250 EMMET ST N,11483647.27,3907435.26,2006-03-08T00:00:00.000Z,Unintentional
507 ROUGEMONT AVE,11486497.12,3894271.541,2006-03-11T00:00:00.000Z,NULL
1301 E HIGH ST,11492673.48,3899353.113,2006-03-11T00:00:00.000Z,Failure of equipment or heat source
1101 E MARKET ST,11490973.34,3898020.776,2006-03-14T00:00:00.000Z,NULL
68 UNIVERSITY WAY #1,11482429.21,3902714.73,2006-03-14T00:00:00.000Z,Unintentional
1320 EARLY ST,11487686.26,3894685.678,2006-03-16T00:00:00.000Z,Unintentional
510 RIDGE ST #A,11486608.28,3897375.727,2006-03-19T00:00:00.000Z,Unintentional
1005 LOCUST LN,11495358.42,3903953.442,2006-03-21T00:00:00.000Z,Unintentional
816 HARDY DR,11485275.3,3899825.7,2006-03-23T00:00:00.000Z,"Cause, other"
1917 SWANSON DR,11484838.55,3910486.812,2006-03-27T00:00:00.000Z,NULL
909 W MAIN ST,11484572.13,3899563.726,2006-03-25T00:00:00.000Z,Cause undetermined after investigation
100 ZAN RD,11485893.92,3910850.547,2006-03-28T00:00:00.000Z,NULL
1901 EMMET ST N,11484948.91,3910095.53,2006-04-01T00:00:00.000Z,NULL
1023 MILLMONT ST,11481252.8,3906077.494,2006-04-01T00:00:00.000Z,NULL
1801 HYDRAULIC RD,11485874.37,3909883.8,2006-04-02T00:00:00.000Z,NULL
